Batch,School,Divisions,Sports,Conference,Current Rating,Current Source,US News Name,US News Rank,US News Category,US News URL,Niche Academics Grade,Niche URL,Status,Notes
2,Austin Peay,NCAA D1,womens,UAC,,,austin-peay-state-university-3478,37,Regional Universities South,https://www.usnews.com/best-colleges/austin-peay-state-university-3478,,,done,
2,Ball State,NCAA D1,womens,MAC,,,ball-state-university-1786,213,National Universities,https://www.usnews.com/best-colleges/ball-state-university-1786,,,done,
3,Baylor,NCAA D1,womens,Big 12,,,baylor-university-6967,88,National Universities,https://www.usnews.com/best-colleges/baylor-university-6967,,,done,
3,Bellarmine,NCAA D1,mens+womens,Atlantic Sun Conference,5.8,rated,bellarmine-university-1954,301,National Universities,https://www.usnews.com/best-colleges/bellarmine-university-1954,,,done,
3,Belmont,NCAA D1,mens+womens,Missouri Valley Conference,7,rated,belmont-university-3479,213,National Universities,https://www.usnews.com/best-colleges/belmont-university-3479,,,done,"Nashville TN — NOT Belmont Abbey, the historical mismatch"
3,Binghamton,NCAA D1,mens+womens,America East Conference,8.1,rated,suny-binghamton-2836,73,National Universities,https://www.usnews.com/best-colleges/suny-binghamton-2836,,,done,
3,Boise State,NCAA D1,womens,Pac-12,,,boise-state-university-1616,301,National Universities,https://www.usnews.com/best-colleges/boise-state-university-1616,,,done,
3,Boston College,NCAA D1,mens+womens,Atlantic Coast Conference,9.2,rated,boston-college-2128,36,National Universities,https://www.usnews.com/best-colleges/boston-college-2128,,,done,Chestnut Hill MA — distinct from Boston University
3,Boston University,NCAA D1,mens+womens,Patriot League,9.3,rated,boston-university-2130,42,National Universities,https://www.usnews.com/best-colleges/boston-university-2130,,,done,Boston MA — distinct from Boston College
3,Bowling Green,NCAA D1,mens+womens,Missouri Valley Conference,5.8,rated,bowling-green-state-university-3018,293,National Universities,https://www.usnews.com/best-colleges/bowling-green-state-university-3018,,,done,
3,Bradley,NCAA D1,mens,Missouri Valley Conference,6.2,rated,bradley-university-1641,183,National Universities,https://www.usnews.com/best-colleges/bradley-university-1641,,,done,
3,Brown,NCAA D1,mens+womens,Ivy League,9.9,rated,brown-university-3401,13,National Universities,https://www.usnews.com/best-colleges/brown-university-3401,,,done,Providence RI — not John Brown University
4,Bryant,NCAA D1,mens+womens,America East Conference,5.6,rated,bryant-university-3402,5,Regional Universities North,https://www.usnews.com/best-colleges/bryant-university-3402,,,done,
4,Bucknell,NCAA D1,mens+womens,Patriot League,8.4,rated,bucknell-university-3238,30,National Liberal Arts Colleges,https://www.usnews.com/best-colleges/bucknell-university-3238,,,done,
4,Buffalo,NCAA D1,womens,MAC,,,,,,,,,needs-manual,suny-buffalo-2837 is a 404; University at Buffalo listed under another slug. Must NOT be confused with SUNY Buffalo State
4,Butler,NCAA D1,mens+womens,Big East Conference,7.5,rated,butler-university-1788,1,Regional Universities Midwest,https://www.usnews.com/best-colleges/butler-university-1788,,,done,
4,BYU,NCAA D1,womens,Big 12,,,byu-3670,110,National Universities,https://www.usnews.com/best-colleges/byu-3670,,,done,Provo UT — not BYU-Idaho or BYU-Hawaii
4,Cal Poly,NCAA D1,mens+womens,Pac-12 Conference,7.2,rated,california-polytechnic-state-university-san-luis-obispo-1143,1,Regional Universities West,https://www.usnews.com/best-colleges/california-polytechnic-state-university-san-luis-obispo-1143,,,done,
4,Cal State Bakersfield,NCAA D1,mens+womens,Big West Conference,4.8,rated,california-state-university-bakersfield-1141,36,Regional Universities West,https://www.usnews.com/best-colleges/california-state-university-bakersfield-1141,,,done,location string did not parse cleanly; slug is explicit
4,Cal State Fullerton,NCAA D1,mens+womens,Big West Conference,6.3,rated,california-state-university-fullerton-1137,139,National Universities,https://www.usnews.com/best-colleges/california-state-university-fullerton-1137,,,done,
4,Cal State Northridge,NCAA D1,womens,Big West,,,california-state-university-northridge-1153,20,Regional Universities West,https://www.usnews.com/best-colleges/california-state-university-northridge-1153,,,done,
4,California,NCAA D1,mens+womens,Atlantic Coast Conference,9.8,rated,university-of-california-berkeley-1312,15,National Universities,https://www.usnews.com/best-colleges/university-of-california-berkeley-1312,,,done,UC Berkeley
5,California Baptist,NCAA D1,mens+womens,Pac-12 Conference,5.7,rated,california-baptist-university-1125,33,Regional Universities West,https://www.usnews.com/best-colleges/california-baptist-university-1125,,,done,
5,Campbell,NCAA D1,mens+womens,Coastal Athletic Association,5.8,rated,campbell-university-2913,343,National Universities,https://www.usnews.com/best-colleges/campbell-university-2913,,,done,
5,Canisius,NCAA D1,mens+womens,Metro Atlantic Athletic Conference,5.2,rated,canisius-university-2681,32,Regional Universities North,https://www.usnews.com/best-colleges/canisius-university-2681,,,done,
5,Central Arkansas,NCAA D1,mens+womens,Atlantic Sun Conference,4.8,rated,university-of-central-arkansas-1092,363,National Universities,https://www.usnews.com/best-colleges/university-of-central-arkansas-1092,,,done,Conway AR — the school whose score was wrongly given to Kansas and Arkansas
5,Central Connecticut,NCAA D1,mens+womens,NEC,4.8,rated,central-connecticut-state-university-1378,76,Regional Universities North,https://www.usnews.com/best-colleges/central-connecticut-state-university-1378,,,done,
5,Central Michigan,NCAA D1,womens,MAC,9.2,rated,central-michigan-university-2243,283,National Universities,https://www.usnews.com/best-colleges/central-michigan-university-2243,,,done,
5,Charleston,NCAA D1,mens+womens,Coastal Athletic Association,7.1,rated,college-of-charleston-3428,9,Regional Universities South,https://www.usnews.com/best-colleges/college-of-charleston-3428,,,done,
5,Charleston Southern,NCAA D1,womens,Big South,7.1,rated,charleston-southern-university-3419,70,Regional Universities South,https://www.usnews.com/best-colleges/charleston-southern-university-3419,,,done,
5,Charlotte,NCAA D1,mens+womens,American Conference,6.6,rated,university-of-north-carolina-at-charlotte-2975,143,National Universities,https://www.usnews.com/best-colleges/university-of-north-carolina-at-charlotte-2975,,,done,
5,Chattanooga,NCAA D1,womens,Southern,,,university-of-tennessee-at-chattanooga-3529,329,National Universities,https://www.usnews.com/best-colleges/university-of-tennessee-at-chattanooga-3529,,,done,
6,Chicago State,NCAA D1,mens+womens,NEC,3.2,rated,chicago-state-university-1694,,,https://www.usnews.com/best-colleges/chicago-state-university-1694,,,unranked,Chicago IL — US News lists no rank
6,Cincinnati,NCAA D1,womens,Big 12,,,university-of-cincinnati-3125,158,National Universities,https://www.usnews.com/best-colleges/university-of-cincinnati-3125,,,done,
6,Clemson,NCAA D1,mens+womens,Atlantic Coast Conference,8.5,rated,clemson-university-3425,75,National Universities,https://www.usnews.com/best-colleges/clemson-university-3425,,,done,
6,Cleveland State,NCAA D1,mens+womens,Horizon League,5.4,rated,cleveland-state-university-3032,343,National Universities,https://www.usnews.com/best-colleges/cleveland-state-university-3032,,,done,
6,Coastal Carolina,NCAA D1,mens+womens,Sun Belt Conference,5.9,rated,coastal-carolina-university-3451,33,Regional Universities South,https://www.usnews.com/best-colleges/coastal-carolina-university-3451,,,done,
6,Colgate,NCAA D1,mens+womens,Patriot League,8.7,rated,colgate-university-2701,22,National Liberal Arts Colleges,https://www.usnews.com/best-colleges/colgate-university-2701,,,done,
6,Colorado,NCAA D1,womens,Big 12,,,university-of-colorado-boulder-1370,97,National Universities,https://www.usnews.com/best-colleges/university-of-colorado-boulder-1370,,,done,Boulder CO — not Colorado College
6,Colorado College,NCAA D3+NCAA D1,mens+womens,SCAC,9.5,rated,colorado-college-1347,30,National Liberal Arts Colleges,https://www.usnews.com/best-colleges/colorado-college-1347,,,done,Colorado Springs CO — distinct from U of Colorado
6,Colorado State,NCAA D1,womens,Pac-12,,,colorado-state-university-1350,151,National Universities,https://www.usnews.com/best-colleges/colorado-state-university-1350,,,done,Fort Collins — not CSU Pueblo
6,Columbia,NCAA D1,mens+womens,Ivy League,10,rated,columbia-university-2707,15,National Universities,https://www.usnews.com/best-colleges/columbia-university-2707,,,done,New York NY — not Columbia College MO
7,Cornell,NCAA D1,mens+womens,Ivy League,9.8,rated,cornell-university-2711,12,National Universities,https://www.usnews.com/best-colleges/cornell-university-2711,,,done,"Ithaca NY — not Cornell College, Iowa"
7,Creighton,NCAA D1,mens+womens,Big East Conference,7.9,rated,creighton-university-2542,117,National Universities,https://www.usnews.com/best-colleges/creighton-university-2542,,,done,
7,CSUN,NCAA D1,mens,Big West Conference,5.8,rated,california-state-university-northridge-1153,20,Regional Universities West,https://www.usnews.com/best-colleges/california-state-university-northridge-1153,,,done,"same university as the ""Cal State Northridge"" row — dedup candidate"
7,Dartmouth,NCAA D1,mens+womens,Ivy League,9.9,rated,dartmouth-college-2573,13,National Universities,https://www.usnews.com/best-colleges/dartmouth-college-2573,,,done,"Hanover NH — NOT UMass Dartmouth, which matched first"
7,Davidson,NCAA D1,mens+womens,Atlantic 10 Conference,8.8,rated,davidson-college-2918,13,National Liberal Arts Colleges,https://www.usnews.com/best-colleges/davidson-college-2918,,,done,
7,Dayton,NCAA D1,mens+womens,Atlantic 10 Conference,7.3,rated,university-of-dayton-3127,143,National Universities,https://www.usnews.com/best-colleges/university-of-dayton-3127,,,done,
7,Delaware,NCAA D1,mens+womens,The Summit League,6.8,rated,university-of-delaware-1431,88,National Universities,https://www.usnews.com/best-colleges/university-of-delaware-1431,,,done,Newark DE — not Delaware State or Delaware Valley
7,Delaware State,NCAA D1,womens,NEC,6.8,rated,delaware-state-university-1428,121,Regional Universities North,https://www.usnews.com/best-colleges/delaware-state-university-1428,,,done,
7,Denver,NCAA D1,mens+womens,West Coast Conference,7.4,rated,university-of-denver-1371,117,National Universities,https://www.usnews.com/best-colleges/university-of-denver-1371,,,done,not CU Denver
7,DePaul,NCAA D1,mens+womens,Big East Conference,7,rated,depaul-university-1671,169,National Universities,https://www.usnews.com/best-colleges/depaul-university-1671,,,done,
8,Detroit Mercy,NCAA D1,mens+womens,Horizon League,5,rated,university-of-detroit-mercy-2323,183,National Universities,https://www.usnews.com/best-colleges/university-of-detroit-mercy-2323,,,done,
8,Drake,NCAA D1,mens+womens,Missouri Valley Conference,6.8,rated,drake-university-1860,183,National Universities,https://www.usnews.com/best-colleges/drake-university-1860,,,done,
8,Drexel,NCAA D1,mens+womens,Coastal Athletic Association,7,rated,drexel-university-3256,80,National Universities,https://www.usnews.com/best-colleges/drexel-university-3256,,,done,
8,Duke,NCAA D1,mens+womens,Atlantic Coast Conference,10,rated,duke-university-2920,7,National Universities,https://www.usnews.com/best-colleges/duke-university-2920,,,done,
8,Duquesne,NCAA D1,mens+womens,Atlantic 10 Conference,6.2,rated,duquesne-university-3258,169,National Universities,https://www.usnews.com/best-colleges/duquesne-university-3258,,,done,
8,East Carolina,NCAA D1,womens,American,,,east-carolina-university-2923,192,National Universities,https://www.usnews.com/best-colleges/east-carolina-university-2923,,,done,
8,East Tennessee State,NCAA D1,womens,Southern,,,east-tennessee-state-university-3487,301,National Universities,https://www.usnews.com/best-colleges/east-tennessee-state-university-3487,,,done,
8,East Texas A&M,NCAA D1,womens,Southland,,,texas-am-university-commerce-3565,384,National Universities,https://www.usnews.com/best-colleges/texas-am-university-commerce-3565,,,done,formerly Texas A&M-Commerce
8,Eastern Illinois,NCAA D1,mens+womens,Ohio Valley Conference,4.3,rated,eastern-illinois-university-1674,54,Regional Universities Midwest,https://www.usnews.com/best-colleges/eastern-illinois-university-1674,,,done,
8,Eastern Kentucky,NCAA D1,womens,UAC,8,rated,eastern-kentucky-university-1963,329,National Universities,https://www.usnews.com/best-colleges/eastern-kentucky-university-1963,,,done,
9,Eastern Michigan,NCAA D1,womens,MAC,9.2,rated,eastern-michigan-university-2259,373,National Universities,https://www.usnews.com/best-colleges/eastern-michigan-university-2259,,,done,
9,Eastern Washington,NCAA D1,womens,Big Sky,8.9,rated,eastern-washington-university-3775,52,Regional Universities West,https://www.usnews.com/best-colleges/eastern-washington-university-3775,,,done,
9,Elon,NCAA D1,mens+womens,Coastal Athletic Association,7,rated,elon-university-2927,117,National Universities,https://www.usnews.com/best-colleges/elon-university-2927,,,done,
9,ETSU,NCAA D1,mens,Southern Conference,5.3,rated,east-tennessee-state-university-3487,301,National Universities,https://www.usnews.com/best-colleges/east-tennessee-state-university-3487,,,done,"same university as the ""East Tennessee State"" row — dedup candidate"
9,Evansville,NCAA D1,mens+womens,Missouri Valley Conference,5.5,rated,university-of-evansville-1795,18,Regional Universities Midwest,https://www.usnews.com/best-colleges/university-of-evansville-1795,,,done,
9,Fairfield,NCAA D1,mens+womens,Metro Atlantic Athletic Conference,7,rated,fairfield-university-1385,139,National Universities,https://www.usnews.com/best-colleges/fairfield-university-1385,,,done,
9,Fairleigh Dickinson,NCAA D1,mens+womens,NEC,4.5,rated,fairleigh-dickinson-university-metropolitan-campus-8770,55,Regional Universities North,https://www.usnews.com/best-colleges/fairleigh-dickinson-university-metropolitan-campus-8770,,,done,"Teaneck NJ, Metropolitan campus — the D1 programme; FDU-Florham is a separate D3 row"
9,FGCU,NCAA D1,mens,Atlantic Sun Conference,6,rated,florida-gulf-coast-university-32553,318,National Universities,https://www.usnews.com/best-colleges/florida-gulf-coast-university-32553,,,done,
9,FIU,NCAA D1,mens+womens,American Conference,6,rated,fiu-9635,97,National Universities,https://www.usnews.com/best-colleges/fiu-9635,,,done,
9,Florida,NCAA D1,womens,SEC,9.7,rated-interpolated,university-of-florida-1535,30,National Universities,https://www.usnews.com/best-colleges/university-of-florida-1535,,,done,Gainesville FL — confirms the flagship value set earlier
10,Florida Atlantic,NCAA D1,mens+womens,American Conference,6.4,rated,florida-atlantic-university-1481,183,National Universities,https://www.usnews.com/best-colleges/florida-atlantic-university-1481,,,done,the school whose score was wrongly given to Florida
10,Florida Gulf Coast,NCAA D1,womens,ASUN,,,florida-gulf-coast-university-32553,318,National Universities,https://www.usnews.com/best-colleges/florida-gulf-coast-university-32553,,,done,"same university as the ""FGCU"" row — dedup candidate"
10,Florida State,NCAA D1,womens,ACC,,,florida-state-university-1489,51,National Universities,https://www.usnews.com/best-colleges/florida-state-university-1489,,,done,Tallahassee FL
10,Fordham,NCAA D1,mens+womens,Atlantic 10 Conference,8.2,rated,fordham-university-2722,97,National Universities,https://www.usnews.com/best-colleges/fordham-university-2722,,,done,
10,Fresno State,NCAA D1,womens,Pac-12,,,california-state-university-fresno-1147,183,National Universities,https://www.usnews.com/best-colleges/california-state-university-fresno-1147,,,done,
10,Furman,NCAA D1,mens+womens,Southern Conference,8.2,rated,furman-university-3434,45,National Liberal Arts Colleges,https://www.usnews.com/best-colleges/furman-university-3434,,,done,
10,Gardner-Webb,NCAA D1,mens+womens,Big South Conference,4.7,rated,gardner-webb-university-2928,52,Regional Universities South,https://www.usnews.com/best-colleges/gardner-webb-university-2928,,,done,location string on the page did not parse cleanly; slug is explicit
10,George Mason,NCAA D1,mens+womens,Atlantic 10 Conference,7,rated,george-mason-university-3749,117,National Universities,https://www.usnews.com/best-colleges/george-mason-university-3749,,,done,
10,George Washington,NCAA D1,mens+womens,Atlantic 10 Conference,8.4,rated,george-washington-university-1444,59,National Universities,https://www.usnews.com/best-colleges/george-washington-university-1444,,,done,
10,Georgetown,NCAA D1,mens+womens,Big East Conference,9.3,rated,georgetown-university-1445,24,National Universities,https://www.usnews.com/best-colleges/georgetown-university-1445,,,done,"Washington DC — NOT Georgetown College, Kentucky, which matched first"
11,Georgia,NCAA D1,womens,SEC,9.1,rated-interpolated,university-of-georgia-1598,46,National Universities,https://www.usnews.com/best-colleges/university-of-georgia-1598,,,done,Athens GA — not West Georgia; confirms the flagship value
11,Georgia Southern,NCAA D1,mens+womens,Sun Belt Conference,5.5,rated,georgia-southern-university-1572,343,National Universities,https://www.usnews.com/best-colleges/georgia-southern-university-1572,,,done,the school whose score was wrongly given to Southern
11,Georgia State,NCAA D1,mens+womens,Sun Belt Conference,6.1,rated,georgia-state-university-1574,198,National Universities,https://www.usnews.com/best-colleges/georgia-state-university-1574,,,done,Atlanta GA — the school whose score was wrongly given to Georgia
11,Gonzaga,NCAA D1,mens+womens,Pac-12 Conference,8.4,rated,gonzaga-university-3778,102,National Universities,https://www.usnews.com/best-colleges/gonzaga-university-3778,,,done,
11,Grambling State,NCAA D1,womens,SWAC,,,grambling-state-university-2006,103,Regional Universities South,https://www.usnews.com/best-colleges/grambling-state-university-2006,,,done,
11,Grand Canyon,NCAA D1,mens+womens,Mountain West Conference,6,rated,grand-canyon-university-1074,,,https://www.usnews.com/best-colleges/grand-canyon-university-1074,,,unranked,Phoenix AZ — US News lists no rank
11,Green Bay,NCAA D1,mens+womens,Horizon League,5,rated,university-of-wisconsin-green-bay-3899,74,Regional Universities Midwest,https://www.usnews.com/best-colleges/university-of-wisconsin-green-bay-3899,,,done,
11,Hampton,NCAA D1,womens,CAA,,,hampton-university-3714,273,National Universities,https://www.usnews.com/best-colleges/hampton-university-3714,,,done,
11,Hartford,NCAA D1,mens,,6,placeholder,university-of-hartford-1422,301,National Universities,https://www.usnews.com/best-colleges/university-of-hartford-1422,,,done,
11,Harvard,NCAA D1,mens+womens,Ivy League,10,rated,harvard-university-2155,3,National Universities,https://www.usnews.com/best-colleges/harvard-university-2155,,,done,
12,Hawaii,NCAA D1,womens,Mountain West,,,university-of-hawaii-manoa-1610,169,National Universities,https://www.usnews.com/best-colleges/university-of-hawaii-manoa-1610,,,done,Manoa — not Hawaii Hilo
12,High Point,NCAA D1,mens+womens,Big South Conference,6.3,rated,high-point-university-2933,1,Regional Colleges South,https://www.usnews.com/best-colleges/high-point-university-2933,,,done,
12,Hofstra,NCAA D1,mens+womens,Coastal Athletic Association,7,rated,hofstra-university-2732,183,National Universities,https://www.usnews.com/best-colleges/hofstra-university-2732,,,done,
12,Holy Cross,NCAA D1,mens+womens,Patriot League,8.5,rated,college-of-the-holy-cross-2141,27,National Liberal Arts Colleges,https://www.usnews.com/best-colleges/college-of-the-holy-cross-2141,,,done,
12,Houston,NCAA D1,womens,Big 12,8,rated-interpolated,university-of-houston-3652,132,National Universities,https://www.usnews.com/best-colleges/university-of-houston-3652,,,done,confirms the flagship value; not Houston Downtown
12,Houston Christian,NCAA D1,mens+womens,Ohio Valley Conference,3.8,rated,houston-christian-university-3576,61,Regional Universities West,https://www.usnews.com/best-colleges/houston-christian-university-3576,,,done,the school whose score was wrongly given to Houston
12,Howard,NCAA D1,mens+womens,NEC,6.8,rated,howard-university-1448,88,National Universities,https://www.usnews.com/best-colleges/howard-university-1448,,,done,"Washington DC — not Howard Payne, Texas"
12,Idaho,NCAA D1,womens,Big Sky,,,university-of-idaho-1626,183,National Universities,https://www.usnews.com/best-colleges/university-of-idaho-1626,,,done,Moscow ID — not College of Idaho or Idaho State
12,Idaho State,NCAA D1,womens,Big Sky,,,idaho-state-university-1620,,,https://www.usnews.com/best-colleges/idaho-state-university-1620,,,unranked,Pocatello ID
12,Illinois,NCAA D1,womens,Big Ten,9.4,rated-interpolated,university-of-illinois-urbanachampaign-1775,36,National Universities,https://www.usnews.com/best-colleges/university-of-illinois-urbanachampaign-1775,,,done,Champaign IL — confirms the flagship value; old column had Eastern Illinois here
13,Illinois State,NCAA D1,womens,Missouri Valley,,,illinois-state-university-1692,222,National Universities,https://www.usnews.com/best-colleges/illinois-state-university-1692,,,done,Normal IL
13,Incarnate Word,NCAA D1,womens,Southland,,,university-of-the-incarnate-word-3578,293,National Universities,https://www.usnews.com/best-colleges/university-of-the-incarnate-word-3578,,,done,
13,Indiana,NCAA D1,mens+womens,Big Ten Conference,8.4,rated,indiana-university-bloomington-1809,73,National Universities,https://www.usnews.com/best-colleges/indiana-university-bloomington-1809,,,done,Bloomington — not Indiana State or Indiana Tech
13,Indiana State,NCAA D1,womens,Missouri Valley,8.4,rated,indiana-state-university-9563,363,National Universities,https://www.usnews.com/best-colleges/indiana-state-university-9563,,,done,
13,Iona,NCAA D1,mens+womens,Metro Atlantic Athletic Conference,6,rated,iona-university-2737,61,Regional Universities North,https://www.usnews.com/best-colleges/iona-university-2737,,,done,
13,Iowa,NCAA D1,womens,Big Ten,,,university-of-iowa-1892,102,National Universities,https://www.usnews.com/best-colleges/university-of-iowa-1892,,,done,Iowa City — not Northern Iowa or Iowa State
13,Iowa State,NCAA D1,womens,Big 12,,,iowa-state-university-1869,117,National Universities,https://www.usnews.com/best-colleges/iowa-state-university-1869,,,done,
13,IU Indy,NCAA D1,mens+womens,Horizon League,5,rated,iupui-1813,192,National Universities,https://www.usnews.com/best-colleges/iupui-1813,,,done,Indianapolis IN — formerly IUPUI
13,Jackson State,NCAA D1,womens,SWAC,,,jackson-state-university-2410,363,National Universities,https://www.usnews.com/best-colleges/jackson-state-university-2410,,,done,
13,Jacksonville,NCAA D1,mens+womens,Atlantic Sun Conference,5.8,rated,jacksonville-university-1495,37,Regional Universities South,https://www.usnews.com/best-colleges/jacksonville-university-1495,,,done,"Jacksonville FL — not Jacksonville State, Alabama"
14,Jacksonville State,NCAA D1,womens,CUSA,5.8,rated,jacksonville-state-university-1020,52,Regional Universities South,https://www.usnews.com/best-colleges/jacksonville-state-university-1020,,,done,Jacksonville AL
14,James Madison,NCAA D1,mens+womens,Sun Belt Conference,7.2,rated,james-madison-university-3721,151,National Universities,https://www.usnews.com/best-colleges/james-madison-university-3721,,,done,
14,Kansas,NCAA D1,womens,Big 12,7.9,rated-interpolated,university-of-kansas-1948,143,National Universities,https://www.usnews.com/best-colleges/university-of-kansas-1948,,,done,Lawrence KS — confirms the flagship value; the old column had Central Arkansas here
14,Kansas City,NCAA D1,mens+womens,The Summit League,5.8,rated,university-of-missouri-kansas-city-2518,232,National Universities,https://www.usnews.com/best-colleges/university-of-missouri-kansas-city-2518,,,done,UMKC — not Kansas City Art Institute
14,Kansas State,NCAA D1,womens,Big 12,,,kansas-state-university-1928,158,National Universities,https://www.usnews.com/best-colleges/kansas-state-university-1928,,,done,
14,Kennesaw State,NCAA D1,womens,CUSA,,,kennesaw-state-university-1577,373,National Universities,https://www.usnews.com/best-colleges/kennesaw-state-university-1577,,,done,
14,Kent State,NCAA D1,womens,MAC,,,kent-state-university-3051,232,National Universities,https://www.usnews.com/best-colleges/kent-state-university-3051,,,done,"Kent OH main campus, not Salem"
14,Kentucky,NCAA D1,mens+womens,Sun Belt Conference,8,rated,university-of-kentucky-1989,143,National Universities,https://www.usnews.com/best-colleges/university-of-kentucky-1989,,,done,Lexington KY
14,La Salle,NCAA D1,mens+womens,Atlantic 10 Conference,6,rated,la-salle-university-3287,257,National Universities,https://www.usnews.com/best-colleges/la-salle-university-3287,,,done,
14,Lafayette,NCAA D1,mens+womens,Patriot League,8.4,rated,lafayette-college-3284,30,National Liberal Arts Colleges,https://www.usnews.com/best-colleges/lafayette-college-3284,,,done,"Easton PA — NOT Purdue West Lafayette, which matched too"
15,Lamar,NCAA D1,womens,Southland,,,,,,,,,todo,
15,Le Moyne,NCAA D1,mens+womens,NEC,5.3,rated,,,,,,,todo,
15,Lehigh,NCAA D1,mens+womens,Patriot League,8.6,rated,lehigh-university-3289,46,National Universities,https://www.usnews.com/best-colleges/lehigh-university-3289,,,done,Bethlehem PA — not Penn State Lehigh Valley
15,Liberty,NCAA D1,mens+womens,Southern Conference,6,rated,liberty-university-10392,,,https://www.usnews.com/best-colleges/liberty-university-10392,,,unranked,"Lynchburg VA — not West Liberty, WV"
15,Lindenwood,NCAA D1,mens+womens,Ohio Valley Conference,4.2,rated,lindenwood-university-2480,124,Regional Universities Midwest,https://www.usnews.com/best-colleges/lindenwood-university-2480,,,done,
15,Lipscomb,NCAA D1,mens+womens,Atlantic Sun Conference,6.2,rated,lipscomb-3486,222,National Universities,https://www.usnews.com/best-colleges/lipscomb-3486,,,done,
15,Little Rock,NCAA D1,womens,UAC,,,university-of-arkansas-little-rock-1101,384,National Universities,https://www.usnews.com/best-colleges/university-of-arkansas-little-rock-1101,,,done,
15,LIU,NCAA D1,mens+womens,NEC,4.5,rated,long-island-university-667002,373,National Universities,https://www.usnews.com/best-colleges/long-island-university-667002,,,done,
15,Long Beach State,NCAA D1,womens,Big West,,,,,,,,,todo,
15,Longwood,NCAA D1,mens+womens,Big South Conference,5,rated,longwood-university-3719,16,Regional Universities South,https://www.usnews.com/best-colleges/longwood-university-3719,,,done,
16,Louisiana,NCAA D1,womens,Sun Belt,,,,,,,,,todo,
16,Louisiana Tech,NCAA D1,womens,Sun Belt,,,,,,,,,todo,
16,Louisiana-Monroe,NCAA D1,womens,Sun Belt,,,,,,,,,todo,
16,Louisville,NCAA D1,mens+womens,Atlantic Coast Conference,7.8,rated,,,,,,,todo,
16,Loyola (MD),NCAA D1,womens,Patriot,,,,,,,,,todo,
